"County","State","Year","No. ofBEACHActBeaches","No. ofMonitoredBeaches","Percent ofTotalBeachesMonitored","TotalLengthof MonitoredBeaches(Mi)","No. ofTier 1Beaches","No. ofTier 1MonitoredBeaches","Percent ofTier 1BeachesMonitored","No. ofMonitoredBeacheswithActions","No. ofMonitoredBeacheswithoutActions","Percent ofMonitoredBeachesAffectedby aBeachAction","TotalNo.of BeachActions","No. of Actions Lessthan 1 Day Duration","Percent ofActionsLess than1 DayDuration","No. ofActions of1 DayDuration","Percent ofActions of1 DayDuration","No. ofActions of2 DayDuration","Percent ofActions of2 DayDuration","No. ofActions of3 - 7 DayDuration","Percent ofActions of3 - 7 DayDuration","No. ofActions of8 - 30 DayDuration","Percent  ofActions of8 - 30 DayDuration","No. ofActionsGreaterthan30 DayDuration","Percent ofActionsGreaterthan30 DayDuration","No. ofBeachDays(MonitoredBeaches)","No. ofDaysUndera BeachAction(MonitoredBeaches)","PercentDaysUnder aBeachAction(MonitoredBeaches)","No. ofDaysNot Undera BeachAction(MonitoredBeaches)","PercentDaysNot Under aBeachAction(MonitoredBeaches)"
"MONROE","FL","2018","39","12","30.77","4","12","12","100","5","7","41.67","9","0","0","0","0","3","33.33","1","11.11","4","44.44","1","11.11","4248","116","2.73","4132","97.27"
"MONROE","FL","2017","39","12","30.77","4","12","12","100","7","5","58.33","10","0","0","0","0","0","0","0","0","10","100","0","0","4248","168","3.95","4080","96.05"
"MONROE","MI","2017","2","2","100","1","1","1","100","1","1","50","1","0","0","0","0","0","0","1","100","0","0","0","0","202","7","3.47","195","96.53"
"MONROE","NY","2017","5","5","100","4","5","5","100","5","0","100","21","0","0","6","28.57","7","33.33","7","33.33","1","4.76","0","0","410","63","15.37","347","84.63"
"MONTEREY","CA","2018","8","8","100","5","8","8","100","6","2","75","17","0","0","17","100","0","0","0","0","0","0","0","0","1704","17","1","1687","99"
"MONTEREY","CA","2017","8","8","100","5","8","8","100","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1704","0","0","1704","100"
"MONTMORENCY","MI","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MONTMORENCY","MI","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MUSKEGON","MI","2018","13","13","100","9","0","0","0","1","12","7.69","2","0","0","1","50","1","50","0","0","0","0","0","0","1326","3",".23","1323","99.77"
"MUSKEGON","MI","2017","13","13","100","9","0","0","0","2","11","15.38","2","0","0","2","100","0","0","0","0","0","0","0","0","1326","2",".15","1324","99.85"
