"Beach ID","Beach Name","County","State","SwimSeasonLength","SwimSeason Length Units","SwimSeasonMonitoringFrequency","SwimSeasonMonitorFrequencyUnits","Off SeasonMonitoringFrequency","Off SeasonMonitorFrequencyUnits","MonitoringReportingFrequency(to EPA)","MonitoringReportingFrequencyUnits","BeachLength (Mi)","Year"
"MD854428","Bay Ridge at River Dr.","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","1","PER_YEAR",".032","2017"
"MD889664","Bayside Beach","ANNE ARUNDEL","MD","98","DAYS","2","PER_MONTH","0","PER_MONTH","1","PER_YEAR",".019","2018"
"MD889664","Bayside Beach","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","1","PER_YEAR",".019","2017"
"MD337680","Beverly Beach","ANNE ARUNDEL","MD","98","DAYS","2","PER_MONTH","0","PER_MONTH","1","PER_YEAR",".233","2018"
"MD337680","Beverly Beach","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","1","PER_YEAR",".233","2017"
"MD785571","Cape Anne","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","1","PER_YEAR",".012","2018"
"MD785571","Cape Anne","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","1","PER_YEAR",".012","2017"
"MD973999","Cape St. Claire at Persimmon Point","ANNE ARUNDEL","MD","98","DAYS","2","PER_MONTH","0","PER_MONTH","1","PER_YEAR",".063","2018"
"MD973999","Cape St. Claire at Persimmon Point","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","1","PER_YEAR",".063","2017"
"MD441379","Cedarhurst","ANNE ARUNDEL","MD","98","DAYS","2","PER_MONTH","0","PER_MONTH","1","PER_YEAR",".02","2018"
"MD441379","Cedarhurst","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","1","PER_YEAR",".02","2017"
"MD461894","Chesapeake Bay Foundation","ANNE ARUNDEL","MD","98","DAYS","2","PER_MONTH","0","PER_MONTH","1","PER_YEAR",".149","2018"
"MD461894","Chesapeake Bay Foundation","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","1","PER_YEAR",".149","2017"
"MD659828","Deale Beach","ANNE ARUNDEL","MD","105","DAYS","-","-","-","-","-","-",".026","2018"
"MD659828","Deale Beach","ANNE ARUNDEL","MD","105","DAYS","-","-","-","-","-","-",".026","2017"
"MD743092","Fairhaven","ANNE ARUNDEL","MD","98","DAYS","2","PER_MONTH","0","PER_MONTH","1","PER_YEAR",".047","2018"
"MD743092","Fairhaven","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","1","PER_YEAR",".047","2017"
"MD953901","Fort Smallwood Park","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","-","-",".05","2018"
"MD953901","Fort Smallwood Park","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","-","-",".05","2017"
"MD329092","Fort Smallwood at Pond Drive","ANNE ARUNDEL","MD","98","DAYS","1","PER_WEEK","0","PER_WEEK","1","PER_YEAR",".229","2018"
"MD329092","Fort Smallwood at Pond Drive","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","1","PER_YEAR",".229","2017"
"MD954026","Franklin Manor","ANNE ARUNDEL","MD","98","DAYS","2","PER_MONTH","0","PER_MONTH","1","PER_YEAR",".019","2018"
"MD954026","Franklin Manor","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","1","PER_YEAR",".019","2017"
"MD252577","Highland Beach","ANNE ARUNDEL","MD","98","DAYS","2","PER_MONTH","0","PER_MONTH","1","PER_YEAR",".149","2018"
"MD252577","Highland Beach","ANNE ARUNDEL","MD","98","DAYS","-","-","-","-","1","PER_YEAR",".149","2017"
